Account,Date,Support Ticket Count,Support Ticket Decline,Jira Ticket Count,Monthly Consumption,Consumption % as per committed transactions,POC NPS,DM NPS,Count of enabled B2C channels,Count of enabled B2B channels,Count of enabled warehouses,Count of enabled stores,Industry,Region,Customer Tenure (months),Last Engagement Score,Opportunity Score
Company_043,2024-09-01,10,2,4,9869.47,10.66,-83,95,8,3,4,6,Healthcare,South,59,62.68,Low
Company_044,2024-09-01,7,2,6,137091.66,118.87,-41,-16,2,9,0,8,E-commerce,East,27,50.44,Low
Company_045,2024-09-01,16,2,3,186974.99,329.34,-63,-67,8,4,1,3,Retail,East,14,96.71,Medium
Company_046,2024-09-01,11,4,4,144629.74,101.34,69,-94,2,0,2,7,Retail,Central,59,69.21,Low
Company_047,2024-09-01,8,2,5,23010.3,62.62,50,-18,0,2,2,1,E-commerce,Central,19,25.13,Low
Company_048,2024-09-01,11,2,8,6341.2,13.66,-68,89,6,8,0,2,Retail,North,48,90.97,Medium
Company_049,2024-09-01,12,5,4,71710.99,80.72,21,14,5,8,4,3,E-commerce,East,51,29.4,Low
Company_050,2024-09-01,14,2,4,111605.66,61.67,15,28,3,9,0,16,Logistics,East,38,37.16,Low
Company_051,2024-09-01,8,2,4,166177.46,103.09,-23,17,10,0,0,15,E-commerce,South,12,10.21,Low
Company_052,2024-09-01,5,0,3,133449.94,122.66,2,9,10,1,3,14,Logistics,North,3,90.0,Medium
Company_053,2024-09-01,5,1,1,139942.19,148.41,-82,-80,5,9,1,2,Finance,North,7,28.61,Low
Company_054,2024-09-01,7,4,6,21514.23,22.41,-68,-30,9,10,4,17,Finance,Central,56,25.89,Low
Company_055,2024-09-01,10,3,4,187081.14,135.22,82,-17,6,9,4,9,Retail,North,35,92.03,Medium
Company_056,2024-09-01,10,3,5,124495.19,66.22,16,29,9,6,0,3,E-commerce,South,25,80.55,Low
Company_057,2024-09-01,12,5,4,74205.05,86.72,67,66,8,3,3,14,Retail,North,49,14.11,Low
Company_058,2024-09-01,12,7,3,176469.39,155.31,-42,5,5,7,3,13,E-commerce,West,15,76.93,Low
Company_059,2024-09-01,7,1,7,167421.29,151.71,86,-76,5,6,2,8,Retail,West,19,91.3,Medium
Company_060,2024-09-01,14,5,5,58039.73,929.54,-5,-61,10,7,0,2,Finance,South,19,7.85,Low
Company_061,2024-09-01,9,2,4,122688.12,91.83,-79,-77,6,1,5,11,Finance,Central,23,82.52,Low
Company_062,2024-09-01,12,3,4,86538.23,56.68,-67,42,0,9,4,17,Retail,East,11,54.74,Low
Company_063,2024-09-01,15,1,1,167814.71,86.03,-16,71,1,6,2,13,E-commerce,North,59,66.92,Low
Company_064,2024-09-01,6,3,3,118734.22,1648.17,84,-87,4,9,2,11,Healthcare,Central,21,49.29,Low
Company_065,2024-09-01,13,7,6,14861.76,16.87,-74,47,8,3,1,15,E-commerce,Central,52,69.78,Low
Company_066,2024-09-01,7,5,3,101044.4,110.78,-43,-73,5,8,2,3,Retail,North,34,3.41,Low
Company_067,2024-09-01,8,1,3,75409.57,89.09,95,-29,9,3,3,17,E-commerce,East,39,76.27,Medium
Company_068,2024-09-01,12,0,6,51903.66,38.13,96,59,9,10,5,17,Logistics,North,51,3.33,Medium
Company_069,2024-09-01,13,2,3,198553.45,559.95,-94,55,10,4,0,5,E-commerce,East,7,45.53,Low
Company_070,2024-09-01,13,3,6,187214.44,134.33,-31,79,4,5,2,0,Finance,South,42,15.1,Low
Company_071,2024-09-01,13,3,5,68244.23,49.84,-54,-64,9,10,3,2,Finance,East,44,82.36,Low
Company_072,2024-09-01,11,3,6,16688.94,54.65,-64,89,10,0,0,16,Logistics,Central,55,31.37,Low
Company_073,2024-09-01,11,6,3,20911.75,37.73,-45,-4,6,7,2,5,E-commerce,South,27,45.41,Low
Company_074,2024-09-01,9,3,5,22525.99,18.44,-6,-21,5,9,4,2,Healthcare,West,50,42.88,Low
Company_075,2024-09-01,9,0,6,58031.14,122.2,-87,-61,2,9,0,2,E-commerce,South,23,77.25,Medium
Company_076,2024-09-01,12,0,2,167146.07,90.8,-31,13,10,6,3,19,Finance,East,38,48.11,Medium
Company_077,2024-09-01,11,0,0,143866.72,193.02,13,6,4,3,4,3,Finance,South,58,78.9,High
Company_078,2024-09-01,7,2,5,66409.1,278.49,-12,10,1,4,5,18,Retail,South,20,7.35,Low
Company_079,2024-09-01,9,1,5,117806.04,84.02,24,34,10,4,0,7,Finance,West,27,19.16,Low
Company_080,2024-09-01,12,2,1,60485.57,66.18,1,53,0,0,1,9,Retail,East,53,55.15,Low
Company_081,2024-09-01,11,2,4,25569.27,21.45,-46,96,2,4,2,10,Finance,Central,8,94.71,Low
Company_082,2024-09-01,10,3,8,129988.28,135.54,-70,-99,7,6,1,4,Finance,South,37,7.48,Low
Company_083,2024-09-01,7,3,8,28487.23,23.94,-3,36,3,8,4,11,Healthcare,North,3,4.31,Low
Company_084,2024-09-01,19,4,5,177238.35,206.35,-82,1,0,6,0,14,Retail,Central,2,15.66,Low
Company_085,2024-09-01,9,0,7,70926.46,238.56,-81,-20,9,6,4,12,Retail,South,22,64.12,Low
Company_086,2024-09-01,9,1,5,182063.62,221.27,81,63,6,4,0,12,Finance,Central,6,39.9,Medium
Company_087,2024-09-01,8,2,8,59028.5,31.32,-95,-17,2,9,3,11,Retail,North,39,82.56,Low
Company_088,2024-09-01,6,0,8,196591.65,901.97,-78,11,1,3,3,18,Finance,Central,40,7.19,Medium
Company_089,2024-09-01,13,0,4,91302.58,632.7,2,34,1,6,2,10,Finance,Central,36,19.64,Medium
Company_090,2024-09-01,11,1,8,41043.49,246.96,-44,-15,2,1,4,20,E-commerce,North,44,30.0,Medium
Company_091,2024-09-01,11,2,3,80407.88,536.97,-71,35,8,3,2,11,Retail,North,24,62.67,Low
Company_092,2024-09-01,9,0,2,116903.84,101.33,86,65,2,3,0,4,Logistics,North,12,68.52,Medium
Company_093,2024-09-01,14,1,4,29754.16,102.46,-35,-50,2,9,1,20,Retail,West,17,12.42,Low
Company_094,2024-09-01,10,2,0,135734.7,104.29,-81,-55,10,7,3,18,Retail,North,22,94.38,Low
Company_095,2024-09-01,9,0,3,39911.17,24.86,94,48,7,10,4,20,Healthcare,Central,54,34.1,Medium
Company_096,2024-09-01,12,5,6,195753.03,486.05,62,59,5,10,2,4,Logistics,North,19,71.32,Medium
Company_097,2024-09-01,13,0,4,86084.62,76.88,12,-83,7,7,5,9,Logistics,South,9,52.42,Low
Company_098,2024-09-01,9,3,7,99341.5,114.73,-30,51,0,5,4,2,Healthcare,North,12,22.28,Low
Company_099,2024-09-01,9,0,3,74192.21,47.21,-21,18,7,0,0,11,Healthcare,North,32,84.62,Medium
Company_100,2024-09-01,11,2,4,121863.36,115.87,-27,-81,10,1,4,19,Retail,East,53,81.82,High
Company_001,2024-10-01,8,0,4,127007.97,113.04,29,-2,7,9,4,1,E-commerce,Central,31,39.61,Medium
Company_002,2024-10-01,9,2,9,43735.69,82.31,15,46,10,3,2,19,Healthcare,Central,17,58.86,Low
Company_003,2024-10-01,8,0,3,60240.46,72.53,21,28,2,0,3,3,Logistics,South,23,25.78,Low
Company_004,2024-10-01,13,4,1,177803.4,188.33,-13,82,1,8,5,5,Logistics,West,10,68.99,Low
Company_005,2024-10-01,11,3,3,179990.21,327.51,-90,-37,7,7,4,16,Retail,East,30,30.9,Low
Company_006,2024-10-01,7,1,8,157468.73,102.03,56,-60,5,5,2,12,E-commerce,South,19,84.41,Medium
Company_007,2024-10-01,9,3,6,57486.51,131.45,4,98,5,10,4,1,Finance,South,26,21.74,Low
Company_008,2024-10-01,9,1,4,63980.93,37.1,61,65,5,1,2,3,Healthcare,Central,26,1.48,Medium
Company_009,2024-10-01,6,1,6,190715.42,275.92,42,73,6,4,2,19,Healthcare,East,11,26.85,Medium
Company_010,2024-10-01,8,3,3,144905.67,148.29,-62,-15,1,9,5,4,Retail,Central,20,19.11,Low
Company_011,2024-10-01,14,4,7,168576.5,124.09,-11,-21,10,10,3,4,E-commerce,West,54,50.83,Low
Company_012,2024-10-01,12,3,5,53514.4,28.36,52,81,1,4,4,12,Logistics,Central,56,20.37,Low
Company_013,2024-10-01,8,1,7,104012.78,325.22,64,-16,2,10,5,16,Logistics,North,45,76.32,High
Company_014,2024-10-01,11,5,6,121229.77,60.87,-77,65,10,6,4,11,Finance,Central,4,24.14,Low
Company_015,2024-10-01,9,1,1,183425.3,108.18,-96,-8,4,2,1,10,Logistics,North,47,70.7,High
Company_016,2024-10-01,12,3,5,11940.1,6.0,96,24,3,3,1,4,Healthcare,South,12,57.85,Low
Company_017,2024-10-01,7,3,4,156719.03,165.24,-81,-25,1,8,4,16,Finance,West,25,98.62,Medium
Company_018,2024-10-01,7,2,5,65024.73,124.98,-91,69,5,9,1,19,E-commerce,North,56,99.99,Medium
Company_019,2024-10-01,7,3,5,190913.56,1140.17,-4,-61,2,2,5,19,Finance,West,58,86.95,Medium
Company_020,2024-10-01,8,1,2,182338.75,433.36,-58,84,7,0,3,11,E-commerce,Central,10,76.0,Medium
Company_021,2024-10-01,13,5,2,187285.13,102.74,73,84,3,7,4,9,Logistics,Central,22,38.65,Low
Company_022,2024-10-01,7,1,3,103152.3,64.35,92,91,7,3,4,7,Retail,South,7,75.33,Medium
Company_023,2024-10-01,12,5,2,191351.65,100.21,-21,100,7,3,2,18,Finance,Central,24,95.67,Low
Company_024,2024-10-01,8,2,6,42443.14,126.79,12,18,4,6,4,16,Finance,North,2,2.34,Low
Company_025,2024-10-01,13,2,4,43354.2,84.5,7,-59,3,9,1,8,Healthcare,South,32,53.79,Low
Company_026,2024-10-01,8,3,4,177318.37,246.72,-87,64,7,5,4,3,Healthcare,West,21,21.8,Low
Company_027,2024-10-01,12,0,3,63105.56,280.43,82,32,1,4,0,5,E-commerce,South,7,55.79,Medium
Company_028,2024-10-01,15,1,6,109239.05,253.37,-31,15,8,2,3,2,Retail,West,8,46.64,Low
Company_029,2024-10-01,8,0,3,95682.09,194.24,-44,15,5,0,3,1,Healthcare,East,53,57.58,Medium
Company_030,2024-10-01,9,1,11,161993.98,95.41,1,28,5,3,3,2,Healthcare,North,51,55.1,Medium
Company_031,2024-10-01,9,5,5,61922.68,41.01,-5,-43,0,5,0,20,Logistics,North,38,96.01,Low
Company_032,2024-10-01,10,2,4,45166.11,871.26,-15,-63,2,0,2,15,Logistics,West,21,55.22,Low
Company_033,2024-10-01,7,1,7,179992.48,636.48,78,-65,7,7,4,0,Healthcare,Central,8,84.62,Medium
Company_034,2024-10-01,8,0,5,88917.57,238.56,-80,-96,4,3,1,17,E-commerce,Central,57,31.98,Medium
Company_035,2024-10-01,12,1,9,15301.2,10.44,86,55,8,6,0,9,Retail,East,25,43.81,Medium
Company_036,2024-10-01,6,2,9,122481.49,121.86,-40,-23,1,0,1,13,Healthcare,West,28,47.04,Low
Company_037,2024-10-01,10,0,4,113843.38,156.67,63,59,7,1,0,15,E-commerce,East,28,27.87,High
Company_038,2024-10-01,10,1,4,99282.13,111.95,52,37,0,10,4,18,E-commerce,West,54,37.98,High
Company_039,2024-10-01,4,1,3,12109.9,79.23,-39,83,2,4,3,0,Healthcare,East,31,59.85,Low
Company_040,2024-10-01,14,1,3,116326.88,166.6,57,-10,3,9,3,5,E-commerce,West,52,58.02,Medium
Company_041,2024-10-01,8,1,9,67017.72,36.17,70,71,1,8,2,2,Finance,North,36,63.64,Medium
Company_042,2024-10-01,15,4,3,192918.61,245.72,34,39,8,8,4,0,E-commerce,East,25,35.18,Medium
Company_043,2024-10-01,11,1,8,44350.01,24.34,-1,20,0,10,3,11,Healthcare,East,52,31.58,Low
Company_044,2024-10-01,8,4,2,33851.88,17.18,-36,91,0,5,0,11,E-commerce,West,56,61.16,Low
Company_045,2024-10-01,7,1,1,91935.98,55.97,-39,87,10,10,0,18,Healthcare,South,41,13.29,Low
Company_046,2024-10-01,14,7,7,69773.64,49.26,88,93,5,2,0,11,Logistics,South,37,25.3,Low
Company_047,2024-10-01,7,2,9,189798.8,398.23,39,-14,10,2,5,14,Healthcare,North,38,4.21,Low
Company_048,2024-10-01,8,2,2,97490.19,258.16,78,22,10,2,1,2,E-commerce,Central,51,7.26,Low
Company_049,2024-10-01,8,3,6,139885.42,104.42,83,98,7,0,2,6,Healthcare,Central,12,24.34,Low
Company_050,2024-10-01,12,3,6,112194.86,129.93,-89,-49,0,5,2,16,Retail,North,37,1.95,Low
Company_051,2024-10-01,14,7,5,30168.89,47.82,1,39,7,4,0,20,Healthcare,Central,37,24.54,Low
Company_052,2024-10-01,13,4,8,23855.44,16.4,-52,-27,5,0,5,10,Healthcare,West,31,65.5,Low
Company_053,2024-10-01,8,1,3,153568.53,85.7,-31,-69,5,6,3,14,Retail,South,18,6.11,Low
Company_054,2024-10-01,9,0,8,118066.77,196.46,-2,-14,2,7,5,15,Retail,North,26,43.67,Medium
Company_055,2024-10-01,8,1,4,21958.57,34.24,-6,32,4,1,5,13,Retail,West,6,91.31,Low
Company_056,2024-10-01,8,1,8,195604.03,114.12,-80,10,9,2,4,9,Finance,North,9,79.13,Medium
Company_057,2024-10-01,10,1,6,89202.38,56.66,-18,-74,1,5,5,9,Healthcare,South,11,30.54,Low
Company_058,2024-10-01,10,2,3,131418.02,125.56,-22,14,9,6,1,14,Retail,Central,31,92.48,Medium
Company_059,2024-10-01,6,0,4,193513.17,100.87,-11,14,0,5,4,13,Retail,West,55,32.96,Medium
Company_060,2024-10-01,7,2,4,14612.43,18.19,-30,63,0,1,5,20,Logistics,South,46,7.25,Low
Company_061,2024-10-01,8,3,9,136990.09,782.87,3,-7,8,10,1,0,Finance,North,56,99.41,Medium
Company_062,2024-10-01,11,2,3,72825.36,57.82,-64,55,10,7,0,4,Healthcare,East,2,87.0,Low
Company_063,2024-10-01,10,5,7,18267.28,27.35,-83,-40,10,5,2,12,E-commerce,West,59,46.59,Low
Company_064,2024-10-01,8,1,4,84790.6,122.48,45,-92,9,2,5,14,Finance,North,29,66.64,Medium
Company_065,2024-10-01,8,1,7,58559.84,60.05,-6,-5,7,1,4,4,Finance,North,46,67.12,Low
Company_066,2024-10-01,8,0,2,65495.88,161.94,35,-7,6,5,5,8,Logistics,South,57,19.45,Medium
Company_067,2024-10-01,10,5,6,130562.05,77.86,-37,-71,0,2,3,16,Healthcare,North,51,20.0,Low
Company_068,2024-10-01,11,3,3,31016.19,22.17,-1,43,1,4,2,14,Healthcare,West,42,46.96,Low
Company_069,2024-10-01,13,7,5,14615.25,26.47,-46,56,4,7,1,3,Retail,West,5,91.16,Low
Company_070,2024-10-01,6,3,5,199546.09,353.85,-66,-82,7,2,5,14,Retail,North,23,1.0,Low
Company_071,2024-10-01,8,2,6,131786.5,67.04,-78,74,5,10,2,2,Finance,South,36,78.25,Low
Company_072,2024-10-01,15,4,3,186068.33,143.12,40,38,4,4,1,20,Logistics,West,7,5.75,Low
Company_073,2024-10-01,8,1,6,132824.44,1040.91,-56,-8,8,3,0,6,Healthcare,East,56,47.82,Medium
Company_074,2024-10-01,15,4,6,24866.36,13.61,-65,-40,7,0,2,17,Logistics,Central,13,63.79,Low
Company_075,2024-10-01,13,2,4,41705.28,101.9,46,-6,7,8,1,19,E-commerce,South,42,68.68,Medium
Company_076,2024-10-01,14,4,3,148369.56,116.82,-78,-84,4,6,5,15,Healthcare,South,10,5.85,Low
Company_077,2024-10-01,11,4,6,163505.94,138.73,34,5,6,9,0,4,Retail,Central,36,41.86,Low
Company_078,2024-10-01,11,0,3,118059.6,315.09,-19,64,1,7,3,16,Finance,Central,16,58.38,Low
Company_079,2024-10-01,12,3,5,50411.43,141.73,-12,-68,8,10,4,5,Logistics,West,15,6.6,Low
Company_080,2024-10-01,12,3,5,183481.54,322.98,96,-67,6,8,0,3,Retail,North,53,13.51,Low
Company_081,2024-10-01,15,0,4,33054.25,130.09,32,-61,4,2,1,10,Finance,North,43,66.36,Medium
Company_082,2024-10-01,9,2,4,132885.05,121.06,81,-43,5,8,2,2,Retail,East,19,52.16,Low
Company_083,2024-10-01,12,1,10,157236.36,86.16,-36,-50,10,8,2,4,Healthcare,North,21,16.18,Low
Company_084,2024-10-01,9,4,6,57259.47,31.31,60,-23,9,8,0,16,Logistics,East,56,53.52,Low
Company_085,2024-10-01,11,1,5,8298.0,4.55,64,-57,9,9,1,5,E-commerce,East,35,91.27,Medium
Company_086,2024-10-01,8,1,7,24530.22,42.3,68,59,9,5,4,1,Retail,South,15,1.56,Low
Company_087,2024-10-01,13,3,5,16041.98,56.34,-93,-80,0,10,4,8,Logistics,South,48,64.26,Low
Company_088,2024-10-01,10,5,3,109285.9,54.84,66,-47,9,6,4,20,Healthcare,West,14,7.37,Low
Company_089,2024-10-01,10,5,5,8250.95,4.71,-93,27,10,8,2,20,Retail,Central,29,0.64,Low
Company_090,2024-10-01,7,0,6,8894.72,7.45,-23,23,3,10,3,9,Healthcare,Central,5,15.07,Low
Company_091,2024-10-01,9,2,5,127465.94,76.4,16,-82,0,2,3,13,E-commerce,East,58,42.29,Low
Company_092,2024-10-01,9,2,6,183767.42,114.03,23,18,3,5,4,4,E-commerce,Central,49,80.23,Medium
Company_093,2024-10-01,9,0,7,78285.14,321.72,-20,83,5,5,3,4,Finance,East,18,28.18,Low
Company_094,2024-10-01,11,1,7,119232.64,452.51,94,-6,8,8,0,10,Finance,Central,51,62.57,Medium
Company_095,2024-10-01,19,1,5,197662.72,244.24,-39,19,1,4,3,7,Finance,West,1,41.12,Low
Company_096,2024-10-01,12,2,1,176481.65,91.3,-64,-76,0,4,3,19,Healthcare,South,27,23.43,Medium
Company_097,2024-10-01,8,1,3,76901.41,49.58,7,-37,2,5,4,10,Finance,South,27,51.42,Low
Company_098,2024-10-01,13,2,8,61384.32,32.19,-52,95,2,7,4,14,Logistics,East,25,79.75,Medium
Company_099,2024-10-01,3,1,2,7732.83,6.69,27,-22,7,0,0,12,Healthcare,Central,41,83.25,Low
Company_100,2024-10-01,16,0,6,175116.94,140.59,29,17,3,3,4,11,Healthcare,North,21,84.65,Medium
Company_001,2024-11-01,10,0,6,22447.26,25.95,-88,-88,4,7,4,20,Finance,West,14,33.86,Low
Company_002,2024-11-01,5,1,4,129644.36,254.41,72,20,4,8,0,3,Finance,Central,52,79.35,Medium
Company_003,2024-11-01,6,0,8,81867.15,48.04,10,-66,4,5,3,11,Healthcare,North,53,21.22,Low
Company_004,2024-11-01,10,4,6,25830.09,50.08,-89,2,0,9,4,6,E-commerce,West,20,73.84,Low
Company_005,2024-11-01,17,6,6,55354.23,105.48,-8,41,4,1,3,16,E-commerce,West,28,94.84,Medium
Company_006,2024-11-01,10,4,5,171245.82,392.33,15,95,8,4,4,19,Finance,South,21,1.37,Low
Company_007,2024-11-01,14,1,3,189034.44,96.73,-70,-68,1,6,2,10,E-commerce,East,23,44.04,Low
Company_008,2024-11-01,9,0,4,5764.08,2.88,42,-7,2,3,4,16,Logistics,Central,11,64.78,Low
Company_009,2024-11-01,10,2,2,24954.78,29.34,2,28,0,0,0,4,Logistics,West,56,70.18,Low
Company_010,2024-11-01,16,2,8,14812.97,85.79,82,-15,7,8,3,4,Logistics,Central,2,17.61,Low
Company_011,2024-11-01,7,2,3,54659.43,54.47,55,31,2,5,4,10,Healthcare,West,20,97.22,Low
Company_012,2024-11-01,3,1,4,67169.38,55.64,-59,0,9,4,4,10,Healthcare,South,24,61.53,Low
Company_013,2024-11-01,7,2,6,52471.31,31.01,29,30,8,7,5,18,Healthcare,East,55,16.43,Low
Company_014,2024-11-01,7,0,4,14988.74,14.72,-24,21,0,5,2,3,Healthcare,North,25,2.05,Low
Company_015,2024-11-01,6,3,5,76510.77,298.5,6,49,4,10,0,19,Healthcare,North,37,78.33,Medium
Company_016,2024-11-01,11,7,8,111104.57,74.37,21,-33,10,9,4,7,Finance,South,22,7.97,Low
Company_017,2024-11-01,13,5,3,83064.32,74.02,84,-87,9,7,1,16,E-commerce,West,59,14.11,Low
Company_018,2024-11-01,11,1,5,64097.82,49.51,61,84,9,6,1,7,Finance,South,24,57.48,Low
Company_019,2024-11-01,4,1,7,174206.01,195.16,-92,46,1,3,0,14,E-commerce,East,15,60.35,Low
Company_020,2024-11-01,6,1,3,157670.1,172.66,-20,7,2,6,5,6,Finance,North,12,68.69,Low
Company_021,2024-11-01,10,3,6,187015.56,128.01,5,28,9,7,5,1,Logistics,Central,46,39.35,Low
Company_022,2024-11-01,11,3,2,190395.22,224.8,80,-65,8,3,4,10,Retail,North,31,77.39,Medium
Company_023,2024-11-01,10,1,3,53255.28,40.71,69,22,8,6,2,5,Healthcare,East,43,97.44,Medium
Company_024,2024-11-01,11,1,2,106050.12,860.93,17,36,5,8,2,20,Retail,West,31,27.11,Medium
Company_025,2024-11-01,12,0,6,187426.99,102.49,77,-33,9,7,1,7,Retail,South,53,70.3,High
Company_026,2024-11-01,7,2,3,94624.88,74.18,-29,42,4,3,2,9,Logistics,North,30,92.85,Low
Company_027,2024-11-01,10,5,8,177076.03,396.28,80,-47,7,5,3,11,Retail,North,41,68.63,Low
Company_028,2024-11-01,14,2,4,43835.6,49.91,43,84,4,4,0,18,Retail,Central,20,68.11,Low
Company_029,2024-11-01,9,1,2,35596.01,18.76,73,39,6,6,2,4,Logistics,South,8,22.38,Low
Company_030,2024-11-01,13,5,5,108259.05,188.51,-26,-90,4,1,2,14,E-commerce,Central,44,53.51,Low
Company_031,2024-11-01,10,2,3,56719.56,40.87,67,-35,7,3,1,17,Finance,Central,30,56.25,Low
Company_032,2024-11-01,17,3,10,29740.2,24.67,-31,43,4,2,0,19,Retail,West,35,70.01,Medium
Company_033,2024-11-01,10,1,6,193374.18,634.56,89,50,3,3,0,16,Healthcare,North,21,99.68,High
Company_034,2024-11-01,9,1,1,21529.4,13.25,-43,63,3,0,0,13,Logistics,South,47,3.36,Low
Company_035,2024-11-01,10,4,4,167872.59,220.17,-16,83,7,1,5,4,Retail,West,40,6.52,Low
Company_036,2024-11-01,14,2,7,21792.64,19.11,-99,40,2,6,5,15,E-commerce,West,58,7.8,Low
Company_037,2024-11-01,10,2,1,144037.79,188.47,22,66,3,4,2,9,E-commerce,West,28,74.3,Medium
Company_038,2024-11-01,17,0,6,20309.42,11.48,65,-85,1,10,4,7,Healthcare,East,39,13.64,Low
Company_039,2024-11-01,15,0,5,42257.12,26.55,36,89,0,2,3,5,Retail,East,17,62.25,Low
Company_040,2024-11-01,9,2,5,76375.51,47.03,-91,1,7,2,5,9,Healthcare,West,12,32.47,Low
Company_041,2024-11-01,10,2,3,24860.22,16.91,-91,-98,4,9,4,3,E-commerce,East,52,45.73,Low
Company_042,2024-11-01,7,2,8,31987.53,23.73,-15,-28,7,10,4,16,E-commerce,South,50,21.57,Low
Company_043,2024-11-01,10,2,10,22310.79,12.85,26,-66,8,7,2,6,Finance,North,18,86.61,Low
Company_044,2024-11-01,8,4,4,150558.17,84.0,-72,-16,2,7,5,8,E-commerce,South,47,58.62,Low
Company_045,2024-11-01,13,1,3,54374.23,48.0,83,-53,0,5,2,18,Logistics,North,55,94.46,Medium
Company_046,2024-11-01,10,2,1,73583.41,66.3,72,93,3,2,4,20,Finance,East,28,57.46,Low
Company_047,2024-11-01,7,1,6,94572.47,57.49,3,9,8,5,0,12,Healthcare,South,3,12.39,Low
Company_048,2024-11-01,16,4,4,61783.31,39.71,71,-76,2,2,3,10,E-commerce,Central,51,17.09,Low
Company_049,2024-11-01,9,1,5,114817.06,60.74,-37,-99,4,6,1,14,Logistics,West,15,98.91,Low
Company_050,2024-11-01,16,2,5,113786.44,176.85,92,-32,5,4,4,18,Finance,North,16,72.56,Medium
Company_051,2024-11-01,5,1,3,60611.39,37.98,-98,-34,10,5,5,7,Logistics,North,22,4.93,Low
Company_052,2024-11-01,8,4,4,74227.98,75.0,-85,70,1,7,2,5,Finance,Central,54,70.38,Low
Company_053,2024-11-01,10,2,5,192514.23,291.67,3,75,8,4,5,3,Finance,Central,49,41.22,Low
Company_054,2024-11-01,5,1,7,7500.22,4.68,63,-25,5,9,1,7,Finance,West,31,30.72,Low
Company_055,2024-11-01,10,2,6,83975.21,44.99,-66,22,2,7,5,19,Healthcare,East,31,15.41,Low
Company_056,2024-11-01,5,1,4,182341.51,426.46,-5,6,8,7,4,6,Finance,South,1,83.99,Low
Company_057,2024-11-01,9,0,5,108810.25,169.6,95,-37,10,9,0,16,Finance,South,11,6.38,Low
Company_058,2024-11-01,9,0,5,154909.02,272.78,14,35,5,1,4,3,Logistics,South,6,28.98,Low
Company_059,2024-11-01,13,3,3,94813.6,52.49,-85,40,8,3,4,17,Finance,East,23,30.64,Low
Company_060,2024-11-01,16,6,2,15207.7,30.39,-62,-58,5,8,3,3,Healthcare,West,9,16.09,Low
Company_061,2024-11-01,10,2,6,46003.85,39.88,74,-48,9,7,0,16,Logistics,South,52,50.82,Low
Company_062,2024-11-01,11,1,3,189786.61,194.34,14,-86,7,2,4,13,Finance,North,16,1.17,Low
Company_063,2024-11-01,8,2,4,49590.8,28.0,16,44,0,8,3,9,Logistics,North,58,30.1,Low
Company_064,2024-11-01,10,2,8,169298.13,223.86,85,-95,6,4,0,6,Healthcare,North,38,93.36,Medium
Company_065,2024-11-01,12,6,5,42855.11,39.09,48,-82,0,6,2,2,Logistics,Central,44,31.05,Low
Company_066,2024-11-01,14,5,3,186059.01,157.61,38,-85,1,7,0,9,Healthcare,Central,19,36.05,Low
Company_067,2024-11-01,8,1,3,52042.65,114.12,4,-54,2,10,5,20,E-commerce,East,45,47.32,Medium
Company_068,2024-11-01,8,1,8,196942.79,246.86,7,-5,6,7,3,12,Finance,South,13,56.17,Low
Company_069,2024-11-01,6,1,8,186866.38,234.47,-80,74,10,8,1,20,Healthcare,Central,59,80.87,High
Company_070,2024-11-01,12,4,5,180424.44,98.8,-11,-70,2,8,3,16,Finance,North,32,19.03,Low
Company_071,2024-11-01,16,4,2,40669.97,53.38,-68,86,3,0,0,9,Healthcare,Central,36,87.17,Low
Company_072,2024-11-01,9,4,8,132528.87,105.5,18,72,8,6,4,12,Retail,North,9,75.75,Low
Company_073,2024-11-01,8,1,4,178501.05,2629.93,-42,-37,7,5,1,8,Retail,South,46,72.27,High
Company_074,2024-11-01,11,3,6,140051.7,120.2,-52,85,1,0,5,13,Retail,East,46,8.68,Low
Company_075,2024-11-01,15,6,2,189298.88,314.87,57,96,0,3,1,2,Healthcare,West,49,2.16,Medium
Company_076,2024-11-01,10,2,4,156061.22,275.54,-75,52,0,7,4,1,Finance,West,37,59.4,Low
Company_077,2024-11-01,16,4,7,66314.65,56.06,-38,89,0,6,3,7,Retail,North,31,86.31,Low
Company_078,2024-11-01,12,0,6,151196.52,633.16,38,-45,0,2,4,9,Finance,Central,31,58.44,Medium
Company_079,2024-11-01,13,6,7,99848.98,96.51,-41,87,9,5,4,19,Healthcare,Central,59,21.32,Low
Company_080,2024-11-01,10,1,3,84294.12,105.74,97,72,5,3,2,4,Finance,North,55,9.05,High
Company_081,2024-11-01,13,2,7,63943.96,35.62,69,33,3,6,2,8,Finance,South,19,69.96,Low
Company_082,2024-11-01,9,0,7,108726.93,179.77,-85,42,9,2,5,13,Retail,North,2,72.18,Medium
Company_083,2024-11-01,14,2,2,145472.78,158.69,42,26,0,5,5,12,Logistics,South,45,17.25,Medium
Company_084,2024-11-01,7,1,3,88884.3,50.61,34,-19,6,6,1,9,E-commerce,East,32,2.82,Low
Company_085,2024-11-01,8,2,7,20208.8,78.65,-4,-53,8,7,1,7,Healthcare,East,43,40.83,Low
Company_086,2024-11-01,10,0,3,183176.86,109.4,-24,81,2,7,0,17,Healthcare,North,34,58.27,Medium
Company_087,2024-11-01,8,0,5,108756.93,109.79,5,6,8,8,1,12,Healthcare,East,1,70.6,Medium
